Code;Short Name(In Chinese);Short Name;Full Name;Web Site
600000;浦发银行;SPD BANK;SHANGHAI PUDONG DEVELOPMENT BANK CO., LTD.;http://www.spdb.com.cn
600004;白云机场;gbiac;Guangzhou Baiyun International Airport Co.,ltd.;www.baiyunport.com
600006;东风股份;DFAC;Dongfeng  Automobile  Co.,LTD;http://www.dfac.com
600007;中国国贸;CWTC Co.,Ltd.;China World Trade Center Company Ltd.;http://www.cwtc.com
600008;首创环保;Capital Eco-Pro Group;Beijing Capital Eco-Environment Protection Group Co.,Ltd.;http://www.capitalwater.cn
600009;上海机场;SIA;Shanghai International Airport Co., Ltd.;www.shairport.com
600010;包钢股份;BSU;Inner Mongolia BaoTou Steel Union Co.,Ltd.;
600011;华能国际;HPI;Huaneng Power International, INC.;www.hpi.com.cn
600012;皖通高速;Anhui Expressway;Anhui Expressway Company Limited;www.anhui-expressway.net
600015;华夏银行;HUAXIA BANK;HUA XIA BANK CO., Limited;http://www.hxb.com.cn；http://www.95577.com.cn
600016;民生银行;CMBC;CHINA MINSHENG BANK;www.cmbc.com.cn
600017;日照港;RIZHAO PORT;RIZHAO PORT CO.,LTD.;http://www.rzpcl.com/
600018;上港集团;SIPG;Shanghai International Port (Group) Co., Ltd;http://www.portshanghai.com.cn/
600019;宝钢股份;Baosteel;Baoshan Iron & Steel Co., Ltd.;http://www.baosteel.com
600020;中原高速;Zhongyuan Expressway;Henan Zhongyuan Expressway Company Limited;http://www.zygs.com
600021;上海电力;SEP;SHANGHAI ELECTRIC POWER COMPANY LIMITED;www.shanghaipower.com
600022;山东钢铁;SHANDONG STEEL;SHANDONG IRON AND STEEL COMPANY LTD;
600023;浙能电力;Zhejiang Energy Electric Power;Zhejiang Zheneng Electric Power Co.,Ltd;http://www.zzepc.com.cn
600025;华能水电;Huaneng Hydropower;Huaneng Lancang River Hydropower Inc.;http://www.hnlcj.cn
600026;中远海能;CSET;COSCO SHIPPING Energy Transportation Co., Ltd.;energy.coscoshipping.com
600027;华电国际;HDPI;Huadian Power International Corporation Limited;http:\\www.hdpi.com.cn
600028;中国石化;Sinopec Corp.;China Petroleum & Chemical Corporation;http://www.sinopec.com
600029;南方航空;CHINA SOUTH AIR;China Southern Airlines Company Limited;www.csair.com
600030;中信证券;CITIC Securities Co., Ltd.;CITIC Securities Company Limited;www.citics.com
600031;三一重工;SANY;SANY HEAVY INDUSTRY CO.,LTD;www.sanyhi.com
600032;浙江新能;ZJNE;Zhejiang Provincial New Energy Investment Group Co., Ltd.;
600033;福建高速;Fujian Expressway;Fujian Expressway Development Company Limited;www.fjgs.com.cn
600035;楚天高速;ChuTian Expwy;Hubei Chutian Smart Communication Co.,Ltd.;www.hbctgs.com
600036;招商银行;CMB;China Merchants Bank Co., Ltd.;www.cmbchina.com
600037;歌华有线;BGCTV;Beijing Gehua CATV Network Co., LTD.;http://www.bgctv.com.cn
600038;中直股份;AVICOPTER;AVICOPTER PLC;http://avicopter.avic.com/
600039;四川路桥;SRBG;Sichuan Road & Bridge Group Co.,Ltd.;www.scrbc.com.cn
600048;保利发展;PDH;Poly Developments and Holdings Group Co., Ltd.;www.polycn.com
600050;中国联通;China Unicom;CHINA UNITED NETWORK COMMUNICATIONS  LIMITED;www.chinaunicom-a.com
600051;宁波联合;NUG;NINGBO UNITED GROUP CO.,LTD.;http://www.nug.com.cn
600052;东望时代;DWSD;Zhejiang Dongwang Times Technology Co., Ltd.;https://www.dwsd.cn/
600053;九鼎投资;JD Capital;Kunwu Jiuding Investment Holdings CO., Ltd;
600054;黄山旅游;HSTD;Huangshan Tourism Development Co.,Ltd.;http://www.huangshan.com.cn
600055;万东医疗;WDM;Beijing Wandong Medical Technology Co., Ltd.;HTTP://WWW.wandong.com.cn
600056;中国医药;CHINA MEHECO;CHINA MEHECO GROUP CO., LTD.;http://www.meheco.com
600057;厦门象屿;XIANGYU;XIAMEN XIANGYU CO., LTD.;www.xiangyu.cn
600058;五矿发展;MINLIST;MINMETALS DEVELOPMENT CO., LTD.;HTTP://www.minlist.com
600059;古越龙山;GYLS;ZheJiang GuYueLongShan ShaoXing Wine Co.LTD;http://www.shaoxingwine.com.cn
600060;海信视像;;Hisense Visual Technology Co., Ltd.;www.hisense.com
600061;国投资本;SDIC Capital;SDIC Capital Co., Ltd;www.sdiccapital.com
600062;华润双鹤;CR Double-Crane;CHINA RESOURCES DOUBLE－CRANE PHARMACEUTICAL CO.,LTD.;www.dcpc.com
600063;皖维高新;wwgx;ANHUI WANWEI UPDATED HIGH-TECH MATERIAL INDUSTRY COMPANY LIMITED;http://www.wwgf.com.cn
600064;南京高科;NJGK;NANJING GAOKE COMPANY LIMITED;www.600064.com
600066;宇通客车;YTCO;YUTONG BUS CO., LTD.;http://www.yutong.com
600067;冠城新材;CITYCHAMP DT;CITYCHAMP DARTONG ADVANCED MATERIALS CO.,LTD.;http://www.gcdt.net/
600070;*ST富润;FURUN;Zhejiang Furun Digital Technology Co., Ltd.;HTTP://www.zj-furun.cn
