rts-ticker,isin
B:RU000A0JVEZ0-LIQB,RU000A0JVEZ0
B:RU000A0JVEZ0-LIQR,RU000A0JVEZ0
B:RU000A0JVEZ0-PSPI,RU000A0JVEZ0
B:RU000A0JVEZ0-PTPI,RU000A0JVEZ0
B:RU000A0JVEZ0-TQPI,RU000A0JVEZ0
E101:AAL-RM,US02376R1023
E101:AAPL-RM,US0378331005
E101:ABBV-RM,US00287Y1091
E101:ABRD,RU000A0JS5T7
E101:ABT-RM,US0028241000
E101:ACKO,RU000A0JXS91
E101:ADBE-RM,US00724F1012
E101:AFKS,RU000A0DQZE3
E101:AFLT,RU0009062285
E101:AGRO,US7496552057
E101:AKRN,RU0009028674
E101:ALBK,RU000A0JS2M9
E101:ALNU,RU000A0JP468
E101:ALRS,RU0007252813
E101:AMD-RM,US0079031078
E101:AMEZ,RU000A0B88G6
E101:AMGN-RM,US0311621009
E101:AMZN-RM,US0231351067
E101:APTK,RU0008081765
E101:AQUA,RU000A0JQTS3
E101:ARSA,RU000A0JP0Q7
E101:ASSB,RU000A0D8MM8
E101:ATVI-RM,US00507V1098
E101:AVAN,RU000A0DM7B3
E101:AVGO-RM,US11135F1012
E101:BA-RM,US0970231058
E101:BABA-RM,US01609W1027
E101:BANE,RU0007976957
E101:BANEP,RU0007976965
E101:BELU,RU000A0HL5M1
E101:BIDU-RM,US0567521085
E101:BIIB-RM,US09062X1037
E101:BISV,RU0009059216
E101:BISVP,RU0009100176
E101:BKNG-RM,US09857L1089
E101:BKR-RM,US05722G1004
E101:BLNG,RU000A0J2QG8
E101:BMY-RM,US1101221083
E101:BRKB-RM,US0846707026
E101:BRZL,RU0009288658
E101:BSPB,RU0009100945
E101:BSPBP,RU000A0JP0U9
E101:CAT-RM,US1491231015
E101:CBOM,RU000A0JUG31
E101:CHEP,RU0009066807
E101:CHGZ,RU0009082291
E101:CHKZ,RU000A0JNST0
E101:CHMF,RU0009046510
E101:CHMK,RU0007665170
E101:CL-RM,US1941621039
E101:CMCSA-RM,US20030N1019
E101:CNTL,RU0007665147
E101:CNTLP,RU0007665139
E101:COST-RM,US22160K1051
E101:CRM-RM,US79466L3024
E101:CSCO-RM,US17275R1023
E101:CVX-RM,US1667641005
E101:DASB,RU000A0F63G0
E101:DD-RM,US26614N1028
E101:DERZP,RU000A1021R0
E101:DIOD,RU000A0JQWC1
E101:DIS-RM,US2546871060
E101:DSKY,RU000A0JSQ90
E101:DVEC,RU000A0JP2W1
E101:DZRD,RU000A0JQW11
E101:DZRDP,RU000A0JQW29
E101:EA-RM,US2855121099
